"Account Name","Street","City","State","Zip Code","Main Phone","Website"
"Deutsche Bank Securities Inc.","1 Columbus Circle","New York","New York","10019","(212) 250-2500","www.db.com"
"DriveWealth Institutional LLC","15 Exchange Place
Suite 1110","Jersey City","New Jersey","07302","(646) 943-5400","https://www.drivewealth.com"
"DriveWealth, LLC","28 Liberty Street
50th Floor","New York","New York","10005","(800) 461-2680","www.drivewealth.com"
"E&J Securities Corp.","77 Water Street
Suite 1604","New York","New York","10005","(212) 668-8700",""
"Edward D. Jones & Co., L.P.","12555 Manchester Road","St. Louis","Missouri","63131","(314) 515-4900","www.edwardjones.com"
"Farina & Associates Inc.","40 Wall Street, 17th Floor","New York","New York","10005","(212) 742-9105","www.farinaandassociates.com"
"Ferretti Group, Inc.","77 Water Street
Suite 1604","New York","New York","10005","(212) 306-8963","https://ferrettigroupinc.com"
"Fidelity Brokerage Services LLC","900 Salem Street","Smithfield","Rhode Island","02917","(617) 563-7000","www.fidelity.com"
"Flow Traders U.S. LLC","W.R. Grace Building, 1114 Sixth Avenue, 4th Floor","New York","New York","10036","(917) 210-5000","www.flowtraders.com"
"Folger Nolan Fleming Douglas Incorporated","725 15th Street, N.W.
3rd Floor","Washington","District of Columbia","20005","(202) 783-5252","www.fnfd.com"
"Fred Alger & Company, LLC","100 Pearl Street
27th Floor","New York","New York","10004","(800) 223-3810","www.alger.com"
"GTS Execution Services LLC","40 Wall Street, 38th Floor","New York","New York","10005","(212) 715-2830","https://gtsx.com"
"GTS Securities LLC","545 Madison Avenue, 15th Floor","New York","New York","10022","(212) 715-2830","www.gtsx.com"
"Gilder Gagnon Howe & Co. LLC","475 10th Avenue","New York","New York","10018","(212) 765-2500","www.gghc.com"
"Goldman Sachs & Co. LLC","200 West Street","New York","New York","10282","(212) 902-1000","www.gs.com"
"Gordon, Haskett Capital Corporation","441 Lexington Avenue","New York","New York","10017","(212) 883-0600","www.indataweb.com"
"HRT Financial LP","3 World Trade Center
175 Greenwich Street, 76th Floor","New York","New York","10007","(212) 293-1444","www.hudson-trading.com"
"HSBC Securities (USA) Inc.","66 Hudson Boulevard","New York","New York","10001","(212) 525-5000","www.hsbcnet.com"
"Hilltop Securities Inc.","717 N. Harwood Street
Suite 3400","Dallas","Texas","75201","(214) 859-9164","www.swst.com"
"IEX Services LLC","3 World Trade Center
58th Floor","New York","New York","10007","(646) 568-2320","www.iextrading.com"
"IMC Chicago, LLC","233 South Wacker Drive
Suite 4610","Chicago","Illinois","60606","(312) 244-3300","www.imc.com"
"ING Financial Markets LLC","1133 Avenue of the Americas","New York","New York","10019","(646) 424-6000","www.ing.com"
"Ingalls & Snyder, LLC","1325 Ave Of The Americas
18th Floor","New York","New York","10019","(212) 269-7800","www.ingalls.net"
"Instinet, LLC","309 West 49th Street","New York","New York","10019","(212) 310-9500","www.instinet.com"
"Interactive Brokers LLC","One Pickwick Plaza","Greenwich","Connecticut","06830","(203) 618-5700","https://www.interactivebrokers.com"
"Intesa Sanpaolo  IMI Securities Corp.","1 William Street","New York","New York","10312","(212) 326-1100","www.bancaimi.it"
"J. Streicher & Co. L.L.C.","28 Liberty Street
6th Floor","New York","New York","10005","(212) 425-2320","www.jstreicher.com"
"J.P. Morgan Securities LLC","383 Madison Avenue","New York","New York","10179","(212) 272-2000","www.jpmorgan.com"
"Jane Street Capital, LLC","250 Vesey Street, 3rd Floor","New York","New York","10281","(212) 651-6070","www.janestcapital.com"
"Jane Street Execution Services, LLC","250 Vesey Street, 3rd Floor","New York","New York","10281","(646) 759-6000","www.janestreet.com"
"Jane Street Options, LLC","250 Vesey Street
3rd Floor","New York","New York","10281","(212) 651-6070","https://www.janestreet.com"
"Janney Montgomery Scott LLC","1717 Arch Street, 19th Floor","Philadelphia","Pennsylvania","19103","(215) 665-6000","www.jmsonline.com"
"Jefferies LLC","520 Madison Avenue","New York","New York","10022","(212) 284-2300","www.jefferies.com"
"Jump Execution, LLC","600 West Chicago Avenue
Suite 600","Chicago","Illinois","60654","(312) 205-8900","www.jumptrading.com"
"Jump Trading, LLC","600 West Chicago Avenue
Suite 600","Chicago","Illinois","60654","(312) 205-8900","www.jumptrading.com"
"Kahn Brothers LLC","555 Madison Avenue Suite 1303","New York","New York","10022","(212) 980-5050","www.kahnbrothers.com"
"Keefe, Bruyette & Woods, Inc.","787 Seventh Avenue
4th Floor","New York","New York","10019","(212) 887-7777","www.kbw.com"
"Kleon Financial, LLC","14 Scott Avenue","Seldon","New York","11784","(212) 306-1010",""
"Ladenburg Thalmann & Co. Inc.","640 Fifth Avenue
4th Floor","New York","New York","10019","(212) 409-2000","www.ladenburg.com"
"Latour Trading LLC","120 Broadway, 38th Floor","New York","New York","10271","(917) 388-8000",""
"Lightspeed Financial Services Group LLC","20 Headquarters Plaza
North Tower, 7th Floor","Morristown","New Jersey","07960","(888) 577-3123","www.lightspeed.com"
"Lime Trading Corp.","One Penn Plaza
Suite 1614","New York","New York","10119","(212) 824-5500","https://lime.co/"
"Livermore Trading Group, Inc.","11 Wall Street","New York","New York","10005","(212) 742-0460","www.ltgtrade.com"
"Meridian Equity Partners, Inc.","77 Water Street Suite 1604","New York","New York","10005","(212) 742-8472","www.meptraders.com"
"Merrill Lynch, Pierce, Fenner & Smith Incorporated","One Bryant Park","New York","New York","10036","(212) 449-1000","www.ml.com"
"Mirae Asset Securities (USA) Inc.","810 7th Ave. 37th Fl.","New York","New York","10019","(212) 407-1000","https://miraeassetsecuritiesus.com"
"Moors & Cabot, Inc.","One Federal Street
19th Floor","Boston","Massachusetts","02110","(617) 426-0500","www.moorscabot.com"
"Morgan Stanley & Co. LLC","1585 Broadway","New York","New York","10036","(212) 761-4000","www.ms.com"
"Morgan Stanley Smith Barney LLC","2000 Westchester Avenue","Purchase","New York","10577","(914) 225-5510","www.morganstanleysmithbarney.com"
"Muriel Siebert & Co., LLC","15 Exchange Place 8th Floor","Jersey City","New Jersey","07302","(212) 644-2400","www.siebertnet.com"
"Nasdaq Execution Services, LLC","2929 Walnut Street FMC Tower Level 8","Philadelphia","Pennsylvania","19104","(212) 401-8982","www.nasdaqtrader.com"
"National Financial Services LLC","200 Seaport Boulevard
Z2L","Boston","Massachusetts","02210","(800) 800-6890","www.nationalfinancial.com"
"Nomura Securities International, Inc.","Worldwide Plaza
309 West 49th St","New York","New York","10019","(212) 667-9000","www.nomura.com"
"Old Mission Capital, LLC","1 N Dearborn St. Fl 8","Chicago","Illinois","60602","(646) 279-5016","www.oldmissioncapital.com"
"Oppenheimer & Co. Inc.","85 Broad Street
22nd, 24th Floor","New York","New York","10004","(212) 668-8000","www.opco.com"
"Optiver US LLC","130 E Randolph St Ste 1300","Chicago","Illinois","60601","(312) 821-9500","www.optiver.us"
"Oscar Gruss & Son Incorporated","10 East 53rd Street
17th Floor","New York","New York","10022","(212) 514-2400","www.oscargruss.com"
"Pershing LLC","One Pershing Plaza","Jersey City","New Jersey","07399","(201) 413-2301","www.pershing.com"
"Piper Sandler & Co.","800 Nicollet Mall
Suite 800","Minneapolis","Minnesota","55402-3804","(612) 303-6000","www.pipersandler.com"
"Prime Dealer Services Corp.","1221 Avenue of the Americas","New York","New York","10020","(212) 762-4000",""
"Prime Executions, Inc.","77 Water Street
16th Floor","New York","New York","10005","(212) 785-0200","www.primexe.com"
"Pundion LLC","230 Park Avenue
10th Floor","New York","New York","10169","(917) 720-3332","www.pundion.com"
"Quantlab Brokerage, LLC","3 Greenway Plaza Suite 200","Houston","Texas","77046","(713) 400-5440","https://www.quantlab.com"
"Quattro M Securities Inc.","501 Fifth Avenue
15th Floor","New York","New York","10017","(212) 344-5661","www.quattromsecurities.com"
"RBC Capital Markets, LLC","200 Vesey Street","New York","New York","10281","(212) 858-7000","www.rbccm.com"
"RQD* Clearing, LLC","250 Vesey Street
Suite 2601","New York","New York","10281","(310) 692-5910","https://rqdclearing.com"
"Raymond James & Associates, Inc.","880 Carillon Parkway","Saint Petersburg","Florida","33716","(727) 573-3800","www.rjf.com"
"Robert W. Baird & Co. Incorporated","777 E Wisconsin Ave 18th Fl","Milwaukee","Wisconsin","53202","(414) 765-3500","www.rwbaird.com"
"Roberts & Ryan, Inc.","39 Broadway, Suite 610","New York","New York","10006","(866) 884-9959","https://roberts-ryan.com"
"Rosenblatt Securities Inc.","40 Wall Street
59th Floor","New York","New York","10005","(212) 943-5225","www.rblt.com"
"SG Americas Securities, LLC","245 Park Avenue","New York","New York","10167","(212) 278-6000","americas.societegenerale.com"
"SIG Brokerage, LP","140 Broadway
47th Floor","New York","New York","10005","(610) 617-2600","www.sig.com"
"Santander US Capital Markets LLC","437 MADISON AVENUE, 6TH FLOOR","New York","New York","10022","(676) 776-7700","https://www.santandercib.com"
"Scotia Capital (USA) Inc.","250 Vesey Street, 23rd Floor","New York","New York","10281","(212) 225-6500","www.scotia-capital.com"
"Seaport Securities Corp.","60 Broad Street, 31st Floor","New York","New York","10004","(212) 482-8689","www.seaportsecurities.com"
"State Street Global Markets, LLC","State Street Financial Center
1 Lincoln Street","Boston","Massachusetts","02111","(617) 664-3619","https://www.statestreet.com"
"Stephens Inc.","111 Center Street","Little Rock","Arkansas","72201","(501) 377-2000","www.stephens.com"
"Stifel, Nicolaus & Company, Incorporated","501 North Broadway","St. Louis","Missouri","63102","(314) 342-2000","www.stifel.com"
"Stuart Frankel & Co., Incorporated","60 Cutter Ml Rd
Suite 210","Great Neck","New York","11021","(212) 943-8787","www.stuartfrankel.com"
"Summit Securities Group LLC","55 Broadway
Suite 2102","New York","New York","10006","(646) 845-0036","https://www.ssgllc.com/"
"TD Securities (USA) LLC","31 West 52nd Street","New York","New York","10019","(212) 827-7000","www.tdsecurities.com"
"TJM Investments, LLC","318 W. Adams Street
9th Floor","Chicago","Illinois","60606","(312) 432-5100","www.tjmbrokerage.com"
"TP ICAP Global Markets Americas LLC","200 Vesey Street","New York","New York","10281","(212) 306-1900","tpicap.com"
"TRC Markets LLC","111 Coleman Blvd.
Suite 404","Mt. Pleasant","South Carolina","29464","(843) 352-8000",""
"ThinkEquity LLC","17 Battery Place, South
Suite 643","New York","New York","10004","(212) 732-8500","https://www.think-equity.com"
"Tigress Financial Partners, LLC","410 Park Ave, Suite 1220","New York","New York","10022","(212) 430-8700","https://www.tigressfp.com"
"Tower Principal Markets LLC","111 Coleman Blvd.
Suite 404","Mount Pleasant","South Carolina","29464","(843) 352-8002","www.tower-research.com"
"TradeMas Inc.","14 Wall Street, 20th Floor","New York","New York","10005","(212) 668-8700","https://trademas.com"
"TradeStation Securities, Inc.","8050 Southwest 10th Street
Suite 2000","Plantation","Florida","33324","(954) 652-7900","www.tradestation.com"
"TradeUp Securities, Inc.","437 Madison Avenue, 27th Floor","New York","New York","10022","(973) 228-2886","https://www.tradeup.com"
"TradeZero America, Inc.","67 35th Street
Suit 450B","Brooklyn","New York","11232","(718) 709-4925","https://us.tradezero.co"
"Tradebot Systems, Inc.","1251 NW Briarcliff Parkway, Suite 700","Kansas City","Missouri","64116","(816) 285-6400","www.tradebotsystems.com"
"Two Sigma Securities, LLC","16th Floor, 100 Avenue of the Americas","New York","New York","10013","(212) 625-5700","www.twosigma.com"
"UBS Financial Services Inc.","1200 Harbor Boulevard","Weehawken","New Jersey","07086","(201) 352-3000","www.ubs.com/financialservicesinc"
"UBS Securities LLC","1285 Avenue of the Americas","New York","New York","10019","(203) 719-3000","www.ubs.com"
"Velocity Clearing, LLC","1301 Route 36, Suite 109","Hazlet","New Jersey","07730","(212) 425-6000","www.quantexclearing.com"
"Velox Clearing LLC","2400 E. Katella Avenue
Suite 725","Anaheim","California","92806","(866) 808-3569","https://www.veloxglobal.com/"
"Virtu Americas LLC","1633 Broadway, 41St Floor","New York","New York","10019","(201) 222-9400","www.kcg.com"
"Vision Financial Markets LLC","1010 Washington Blvd.
Suite 300","Stamford","Connecticut","06901","(203) 388-2700","www.vfmarkets.com"
"Wall Street Access","100 Wall Street
Suite 804","New York","New York","10005","(212) 709-9400","www.wsaccess.com"
"Webull Financial LLC","44 Wall Street","New York","New York","10005","(917) 725-2448","www.webull.com"
"Wedbush Securities Inc.","1000 Wilshire Blvd 8th Floor","Los Angeles","California","90030","(213) 688-8000","www.wedbush.com"
"Wellington Shields & Co., LLC","60 Broad Street, 39th Floor","New York","New York","10004","(212) 320-3000","www.wellingtonshields.com"
"Wells Fargo Clearing Services, LLC","1 North Jefferson Avenue","Saint Louis","Missouri","63103","(314) 955-3000","www.wellsfargo.com"
"Wells Fargo Securities, LLC","550 South Tryon Street","Charlotte","North Carolina","28202","(704) 374-3369","www.wellsfargo.com"
"William Blair & Company L.L.C.","150 North Riverside Plaza","Chicago","Illinois","60606","(312) 236-1600","www.williamblair.com"
"Wolverine Execution Services, LLC","175 W. Jackson Blvd, Suite 200","Chicago","Illinois","60604","(312) 884-3689","www.tradewex.com"
"XTX Markets LLC","10 Hudson Yards 40th Floor","New York","New York","10001","(212) 660-9930","https://www.xtxmarkets.com"
